id_empresa;nome_empresa;cidade_empresa;categoria_empresa;nome_google_place;latitude;longitude;endereco;categoria_pt
cloudmed;CloudMed;França, Ceara, Brazil;Health Care, Information Technology, Software;CloudMed;-20.537759;-47.38788599999999;Av. Dr. Ismael Alonso Y Alonso, 2500 - 308 - São José, Franca - SP, 14403-430, Brasil;Assistência médica, Tecnologia da informação, Software
cloudstock;Cloudstock;Curitiba, Parana, Brazil;B2B, Construction, Hardware, Internet of Things, Sales Automation;pixfy;-25.4311269;-49.2647538;R. Conselheiro Laurindo, 490 - Centro, Curitiba - PR, 80060-100, Brasil;B2B, Construção, Hardware, Internet das Coisas, Automação de Vendas
clube-4-paredes;Clube 4 Paredes;Campina, Sao Paulo, Brazil;Delivery Service, E-Commerce, Subscription Service;;;;;Serviço de entrega, Comércio eletrônico, Serviço de assinatura
clube-da-taxa;Clube da Taxa;São Paulo, Sao Paulo, Brazil;Finance, Financial Services, FinTech;Clube da Taxa;-23.6283794;-46.6999637;R. Enxovia, Conjunto 1306 - Brooklin, São Paulo - SP, 04711-030, Brasil;Finanças, Serviços financeiros, FinTech
clube-de-autores;Clube de Autores;Joinville, Santa Catarina, Brazil;EBooks, Information Technology, Internet, Publishing, Software;Clube De Autores Publicações S/A;-26.3013236;-48.8512469;R. Otto Boehm, 48 - América, Joinville - SC, 89201-602, Brasil;EBooks, Tecnologia da informação, Internet, Publicação, Software
clube-de-negócios;Clube de Negócios;São Paulo, Sao Paulo, Brazil;Coworking, Property Management, Real Estate;Clube de Negócios Coworking;-23.5949027;-46.63381460000001;Rua Berta, 300 - Vila Mariana, São Paulo - SP, 04120-040, Brasil;Coworking, Gerenciamento de propriedade, Imóveis
clube-greens;Clube Greens;São Paulo, Sao Paulo, Brazil;Fitness, Health Care, Wellness;Jaraguá Clube Campestre;-23.4703056;-46.734731;Av. Dr. Felipe Pinel, 2008 - Pirituba, São Paulo - SP, 02939-000, Brasil;Fitness, Assistência Médica, Bem-estar
clube-organico-2;Clube Orgânico;Rio De Janeiro, Rio de Janeiro, Brazil;Agriculture, Farming, Marketplace, Organic Food;Clube Orgânico;-22.9073165;-43.1752511;Av. Alm. Barroso, 81 - Centro, Rio de Janeiro - RJ, 22775-900, Brasil;Agricultura, Agricultura, Mercado, Alimentos Orgânicos
clubee;Clubee;Brasília, Rio Grande do Norte, Brazil;Big Data, Information Technology, Software;Clubee;49.523937;6.015033;Technoport 2, Rue du Commerce, 3895 Foetz, Luxemburgo;Big Data, Tecnologia da informação, Software
clubeer;CluBeer;Campo Belo, Rio de Janeiro, Brazil;Craft Beer;Clube do Malte E-Commerce;-25.401702;-49.217118;R. Eng. Romeu Gonçalves Pereira, 5 - Bacacheri, Curitiba - PR, 82600-700, Brasil;Cerveja artesanal
clubefinanças;ClubeFinanças;Florianópolis, Santa Catarina, Brazil;Business Development, Finance, Financial Services;;;;;Desenvolvimento comercial, Finanças, Serviços financeiros
clubinho;Clubinho de Ofertas;Rio De Janeiro, Rio de Janeiro, Brazil;Advertising, Children, Gift, Leisure, Marketplace, Ticketing;CLubinho;-22.9962681;-43.2592917;Estr. da Gávea, 899 - São Conrado, Rio de Janeiro - RJ, 22610-001, Brasil;Publicidade, Crianças, Presente, Lazer, Mercado, Ticketing
clubinvest-brazil;Clubinvest Brazil;São Paulo, Sao Paulo, Brazil;B2C, Blockchain, Finance, FinTech, Marketplace;Clubinvest;-23.562389;-46.654234;Av. Paulista, 1374 - 11º Andar - Bela Vista, São Paulo - SP, 01310-932, Brasil;B2C, Blockchain, Finanças, FinTech, Mercado
clubpetro-fidelidade;ClubPetro Fidelidade;Itabira, Minas Gerais, Brazil;B2B, Fuel, Retail, SaaS, Wholesale;ClubPetro;-19.645948;-43.238463;R. Gameleira, 210 - Machado, Itabira - MG, 35901-027, Brasil;B2B, Combustível, Varejo, SaaS, Atacado
cluster-consultoria;Cluster Consultoria;São Paulo, Sao Paulo, Brazil;Consulting, Information Technology;Cluster Consulting do Brasil;-23.6102495;-46.6973603;Av. das Nações Unidas, 12901 - Itaim Bibi, São Paulo - SP, 04795-100, Brasil;Consultoria, Tecnologia da informação
cluster2go;Cluster2Go;São Paulo, Sao Paulo, Brazil;Business Development, Cloud Computing, Cloud Data Services, Information Technology;Cluster2Go;-23.6414838;-46.7286564;R. Itapaiúna, 2434 - Parque do Morumbi, São Paulo - SP, 05707-001, Brasil;Desenvolvimento comercial, Computação em nuvem, Serviços de dados em nuvem, Tecnologia da informação
clvbe;CLVBE;Salvador, Sao Paulo, Brazil;Advertising, Brand Marketing, Content, Digital Media, Marketing;R. Passagem Salvador - Jardim Vista Alegre;-23.4581353;-46.6857469;R. Passagem Salvador - Jardim Vista Alegre, São Paulo - SP, 02675-031, Brasil;Publicidade, Marketing de Marca, Conteúdo, Mídia Digital, Marketing
cm-tecnologia;CM Tecnologia;Belo Horizonte, Minas Gerais, Brazil;Health Care, SaaS, Scheduling, Software;CM Tecnologia;-19.9294138;-43.940629;Av. Bias Fortes, 382 - 6º Andar - Lourdes, Belo Horizonte - MG, 30170-011, Brasil;Assistência Médica, SaaS, Programação, Software
cmov;CMOV;Rio De Janeiro, Rio de Janeiro, Brazil;Education, Human Resources, Training;;;;;Educação, Recursos Humanos, Treinamento
cobli;Cobli;São Paulo, Sao Paulo, Brazil;Automotive, Fleet Management, Information Technology, Logistics, Software;;;;;Automotivo, Gerenciamento de Frota, Tecnologia da Informação, Logística, Software
coblue;CoBlue;São Paulo, Sao Paulo, Brazil;Education, Human Resources, Information Technology;COBLUE OKR;-23.572867;-46.644984;R. Cubatão, 97 - Vila Mariana, São Paulo - SP, 04013-040, Brasil;Educação, Recursos Humanos, Tecnologia da Informação
cobre-fácil-online;Cobre Fácil Online;São José do Rio Prêto, Sao Paulo, Brazil;Financial Services, FinTech, Internet, Payments, Software;Cobre Fácil;-20.8275312;-49.3839344;Av. Romeu Strazzi, 325 - 511 - Vila Sinibaldi, São José do Rio Preto - SP, 15084-010, Brasil;Serviços Financeiros, FinTech, Internet, Pagamentos, Software
code-money;Code Money;Brusque, Santa Catarina, Brazil;Android, Apps, Big Data, Finance, Financial Services, FinTech, iOS, Mobile Apps, Mobile Payments, Payments;RNX FIDC;-27.1044408;-48.9130022;Av. Getúlio Vargas, 63 - Centro 1, Brusque - SC, 88353-900, Brasil;Android, Aplicativos, Big Data, Finanças, Serviços financeiros, FinTech, iOS, Aplicativos móveis, Pagamentos móveis, Pagamentos
codebox;CodeBox;Curitiba, Parana, Brazil;Software;CodeBox Desenvolvimento de Sistemas, Softwares e Sites Online, Web - Curitiba;-25.4195643;-49.27165489999999;R. David Carneiro, 260 - São Francisco, Curitiba - PR, 80530-070, Brasil;Programas
codeland;Codeland;Porto Alegre, Rio Grande do Sul, Brazil;Information Technology, Software, Web Development;CODELAND;-30.0230608;-51.19440119999999;R. Felipe Neri, 128 - Auxiliadora, Porto Alegre - RS, 90440-150, Brasil;Tecnologia da informação, Software, Desenvolvimento Web
codemedia;Codemedia;Recife, Bahia, Brazil;Mobile, QR Codes, SMS, Software, Ticketing;Codemedia Snc;43.9063953;12.9039624;piazzale Falcone e Borsellino, 17, 61121 Pesaro PU, Itália;Celular, códigos QR, SMS, software, emissão de bilhetes
codeminer-42;Codeminer 42;São Paulo, Sao Paulo, Brazil;Consulting, Software, Web Development;Codeminer 42;-23.623783;-46.695284;Av. Roque Petroni Júnior, 850 - Jardim das Acacias, São Paulo - SP, 04707-000, Brasil;Consultoria, Software, Desenvolvimento Web
coderockr;Coderockr;Joinville, Santa Catarina, Brazil;Android, Cloud Computing, iOS, Mobile, Software;Coderockr;-26.3007071;-48.85086279999999;Rua Henrique Meyer, 40 - Sala 1 - Centro, Joinville - SC, 89201-405, Brasil;Android, Computação em nuvem, iOS, Celular, Software
codificar;Codificar;Belo Horizonte, Minas Gerais, Brazil;Information Services, Information Technology, Software;Codificar - Desenvolvimento de Software em BH;-19.9228133;-43.94047760000001;Rua dos Goitacazes, 375 - Centro, Belo Horizonte - MG, 30190-050, Brasil;Serviços de informação, Tecnologia da informação, Software
codifique;Codifique;São Paulo, Sao Paulo, Brazil;Apps, Crowdsourcing, Developer Platform, Internet, Mobile, Project Management, Software;;;;;Aplicativos, Crowdsourcing, Plataforma de desenvolvedor, Internet, Celular, Gerenciamento de projetos, Software
coffeelab;Coffeelab;Brasil, Sao Paulo, Brazil;Big Data, Mobile, SaaS;Coffee Lab;-23.5560043;-46.6913439;R. Fradique Coutinho, 1340 - Vila Madalena, São Paulo - SP, 05416-001, Brasil;Big Data, dispositivos móveis, SaaS
cogdec;CogDec;São Paulo, Sao Paulo, Brazil;Consulting, Human Resources;;;;;Consultoria, Recursos Humanos
cogitant;Cogitant;Belo Horizonte, Minas Gerais, Brazil;Artificial Intelligence, Information Technology, Small and Medium Businesses;Cogitant;-23.6229278;-46.70228059999999;Av. das Nações Unidas, 14621, 25o Andar WeWork - Morumbi, São Paulo - SP, 04578-910, Brasil;Inteligência Artificial, Tecnologia da Informação, Pequenas e Médias Empresas
cognitivo-ai;Cognitivo.ai;São Paulo, Sao Paulo, Brazil;Information Technology;Cognitivo.ai;-23.5541617;-46.6622279;Av. Angélica, 2529 - Bela Vista, São Paulo - SP, 01227-200, Brasil;Tecnologia da informação
cohubtech;Cohubtech;Juiz De Fora, Minas Gerais, Brazil;Financial Services, Information Technology, Venture Capital;Shopping Jardim Norte;-21.7405643;-43.3706894;Av. Brasil, 6345 - Mariano Procópio, Juiz de Fora - MG, 36080-060, Brasil;Serviços financeiros, Tecnologia da informação, Capital de risco
coindatax;COINDATAX;São Paulo, Sao Paulo, Brazil;Analytics, Blockchain, Cryptocurrency, Finance;;;;;Análise, Blockchain, Criptomoeda, Finanças
cointimes;Cointimes;São Paulo, Sao Paulo, Brazil;Content, Financial Services;Cointimes;-23.6010763;-46.6921839;Av. Engenheiro Luís Carlos Berrini, 500 - Cidade Monções, São Paulo - SP, 04571-000, Brasil;Conteúdo, Serviços Financeiros
coinwise;CoinWISE;São Paulo, Sao Paulo, Brazil;Bitcoin, Blockchain, Cryptocurrency, Payments;;;;;Bitcoin, Blockchain, Criptomoeda, Pagamentos
coisa-de-velho;Coisa de Velho;São Paulo, Sao Paulo, Brazil;Content, Internet, Life Science;Coisa de Velho;-23.6673231;-46.7678891;R. Manoel Alves dos Santos, 12 - Campo Limpo, São Paulo - SP, 05862-230, Brasil;Conteúdo, Internet, Ciências da Vida
colab55;Colab55;Rio De Janeiro, Rio de Janeiro, Brazil;Art, E-Commerce, Fashion, Marketplace, Retail;;;;;Arte, Comércio Eletrônico, Moda, Mercado, Varejo
coletivo-bombo;Coletivo Bombo;São Paulo, Sao Paulo, Brazil;Art, Content, Content Creators, Facilities Support Services;Coletivo Bombo;-23.5994459;-46.615279;R. Dr. Elísio de Castro, 77 - Vila Dom Pedro I, São Paulo - SP, 04277-010, Brasil;Arte, Conteúdo, Criadores de conteúdo, Serviços de suporte a instalações
coletivo-verde;Coletivo Verde;Campinas, Goias, Brazil;Art, Information Services, Social Media;;;;;Arte, Serviços de informação, Mídias sociais
coletivy;Coletivy;São Paulo, Sao Paulo, Brazil;Advertising, E-Commerce, Software;;;;;Publicidade, Comércio Eletrônico, Software
colheita-direta;Colheita Direta;Brasil, Sao Paulo, Brazil;Delivery, Delivery Service, Food Delivery;;;;;Entrega, Serviço de entrega, Entrega a domicílio
collect-app;Collect App;Fortaleza, Mato Grosso do Sul, Brazil;Apps, Internet of Things, Social, Software;;;;;Aplicativos, Internet das Coisas, Social, Software
collectgram;Collectgram;Goiânia, Goias, Brazil;Art, Collectibles, E-Commerce Platforms, Lifestyle;Collectgram;-16.7076583;-49.2363098;Edifício Goiás Cooperativo - Av. Dep. Jamel Cecílio, 3527 - Sala 706 - Jardim Goiás, Goiânia - GO, 74810-100, Brasil;Arte, Colecionáveis, Plataformas de Comércio Eletrônico, Estilo de Vida
collworks;CollWorks;Fortaleza, Mato Grosso do Sul, Brazil;Apps, CRM, Enterprise Resource Planning (ERP), Internet, Retail;;;;;Aplicativos, CRM, Planejamento de recursos empresariais (ERP), Internet, Varejo
combofood;ComboFood;Mogi Das Cruzes, Sao Paulo, Brazil;Food and Beverage, Food Delivery, Food Processing, Organic Food, Restaurants;;;;;Alimentos e Bebidas, Entrega de Alimentos, Processamento de Alimentos, Alimentos Orgânicos, Restaurantes
comentto;Comentto;São José Dos Campos, Sao Paulo, Brazil;Digital Marketing, Market Research, Real Time, SaaS;Comentto;-23.2156781;-45.9074308;Av. Alfredo Ignácio Nogueira Penido, 300 - Sala 57 - Parque Res. Aquarius, São José dos Campos - SP, 12246-000, Brasil;Marketing Digital, Pesquisa de mercado, Tempo real, SaaS
comernaweb;ComerNaWeb;Rio De Janeiro, Rio de Janeiro, Brazil;Apps, Delivery, Food and Beverage, Internet, Restaurants;ComerNaWeb;-22.899907;-43.1806038;Rua Visconde de Inhauma, 134 - Centro, Rio de Janeiro - RJ, 20091-007, Brasil;Aplicativos, Entrega, Comidas e bebidas, Internet, Restaurantes
comm-cloud;Comm Cloud;São Paulo, Sao Paulo, Brazil;B2B, Communications Infrastructure, Digital Marketing, Digital Media, Public Relations;;;;;B2B, Infraestrutura de comunicação, Marketing digital, Mídia digital, Relações públicas
communy;Communy;Manaus, Amazonas, Brazil;Information and Communications Technology (ICT), Security, Social Network, Software;Communy;-3.1162706;-59.9832932;Av. Rodrigo Otávio, 4455 - Japiim, Manaus - AM, 69077-200, Brasil;Tecnologia da informação e comunicação (TIC), Segurança, Rede social, Software
comoequetalá;Comoequetalá;Brasília, Rio Grande do Norte, Brazil;B2C, Human Resources, Recruiting, SaaS, Staffing Agency;Comoequetalá;-15.7661985;-47.8783983;Comércio Local Norte 407 BL B loja 17, Brasília - DF, 70855-520, Brasil;B2C, Recursos humanos, Recrutamento, SaaS, Agência de recrutamento
comoo;COMOO;Rio De Janeiro, Rio de Janeiro, Brazil;Apps, E-Commerce, Information Technology, Sharing Economy, Social Shopping, Software;Rio de Janeiro;-22.9068467;-43.1728965;Rio de Janeiro, RJ, Brasil;Aplicativos, Comércio eletrônico, Tecnologia da informação, Economia compartilhada, Compras sociais, Software
compareemcasa;Compareemcasa;São Paulo, Sao Paulo, Brazil;Automotive, E-Commerce, Financial Services, Insurance, Internet, Price Comparison;;;;;Automotivo, Comércio Eletrônico, Serviços Financeiros, Seguros, Internet, Comparação de Preços
comparepetshop;ComparePetShop;Rio De Janeiro, Rio de Janeiro, Brazil;Health Care, Medical, Pet, Service Industry, Veterinary;;;;;Assistência Médica, Medicina, Animais de Estimação, Serviços, Veterinária
compass-inteligencia-e-tecnologia-para-dentistas;Compass;Belo Horizonte, Minas Gerais, Brazil;3D Technology, Information Services, Information Technology;Compass 3D;-19.929431;-43.924033;Av. Carandaí, 161 - Funcionários, Belo Horizonte - MG, 30130-060, Brasil;Tecnologia 3D, Serviços de informação, Tecnologia da informação
compliance-fiscal;Compliance Fiscal;São Paulo, Sao Paulo, Brazil;Accounting, Consulting, Financial Services;Compliance Soluções Fiscais | Solução Fiscal Cloud;-23.571322;-46.6388818;R. Apeninos, 429 - Aclimação, São Paulo - SP, 01533-000, Brasil;Contabilidade, Consultoria, Serviços Financeiros
compra-verde;Compra Verde;São Paulo, Sao Paulo, Brazil;E-Commerce, Green Building, GreenTech, Sustainability;Auto Shopping Curitiba;-25.433961;-49.234092;BR-116, 7500 - Tarumã, Curitiba - PR, 82590-400, Brasil;Comércio Eletrônico, Construção Verde, GreenTech, Sustentabilidade
compras-do-bem;Compras do Bem;Rio De Janeiro, Rio de Janeiro, Brazil;Business Development, Social, Social Entrepreneurship;Shopping Leblon;-22.9824428;-43.2169266;Av. Afrânio de Melo Franco, 290 - Leblon, Rio de Janeiro - RJ, 22430-060, Brasil;Desenvolvimento comercial, Social, Empreendedorismo social
compras3d;Compras3d;Joinville, Santa Catarina, Brazil;3D Printing, 3D Technology, E-Commerce, Marketing, Sales;Compras3d;-26.302817;-48.851178;Rua Henrique Meyer, 280 - Centro, Joinville - SC, 89201-405, Brasil;Impressão 3D, Tecnologia 3D, Comércio Eletrônico, Marketing, Vendas
comprei-e-no-vou;Comprei e Não Vou;Rio De Janeiro, Rio de Janeiro, Brazil;Advertising, E-Commerce, Marketing, Ticketing;Cristo Redentor;-22.951916;-43.2104872;Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ, Brasil;Publicidade, Comércio Eletrônico, Marketing, Ingressos
comproeajudo;ComproeAjudo;Niterói, Amazonas, Brazil;Advertising, Marketing;;;;;Publicidade, Marketing
comprovei;Comprovei;Itajubá, Minas Gerais, Brazil;Delivery, Delivery Service, Logistics;Comprovei;-22.4222087;-45.4600505;R. Rodrigues Seabra, 139A - Morro Chic, Itajubá - MG, 37500-078, Brasil;Entrega, Serviço de entrega, Logística
comune;Comune;São Paulo, Sao Paulo, Brazil;Business Development, Content, Enterprise Software;Clarice Maria Dal Comune;-25.4326212;-49.2720566;Alameda Dr. Muricy, 542 - Centro, Curitiba - PR, 80010-120, Brasil;Desenvolvimento comercial, Conteúdo, Software empresarial
comunica-in;Comunica.In;Curitiba, Parana, Brazil;Communications Infrastructure, Digital Marketing, Information Technology, Project Management, Software;Comunica.In;-25.4378458;-49.27871709999999;Rua Emiliano Perneta, 822 - 804 - Centro, Curitiba - PR, 80420-080, Brasil;Infraestrutura de comunicação, Marketing digital, Tecnologia da informação, Gerenciamento de projetos, Software
comunidade-crowd;Comunidade Crowd;São Paulo, Sao Paulo, Brazil;Advertising, Crowdsourcing, Digital Marketing, News, Software;Comunidade da Vila;-23.5683301;-46.695154;Rua Cardeal Arcoverde, 2796 - Pinheiros, São Paulo - SP, 05408-003, Brasil;Publicidade, Crowdsourcing, Marketing Digital, Notícias, Software
comunidade-urbana;Comunidade Urbana;São Paulo, Sao Paulo, Brazil;Advertising;Comunidade Urbana;-23.5386997;-46.6869464;R. Caraíbas - Pompeia, São Paulo - SP, 05020-000, Brasil;Publicidade
comunidados;Comunidados;Manaus, Amazonas, Brazil;Advertising;Manaus;-3.1190275;-60.0217314;Manaus, AM, Brasil;Publicidade
conadel-brazilian-esports-national-confederation;CBDEL - Brazilian National eSports Confederation;Jundiaí, Sao Paulo, Brazil;Association, eSports, Sporting Goods, Sports;CBDEL - Confederação Brasileira do Desporto Eletrônico;-23.1920544;-46.9035197;R. Hilda Del Nero Bisquolo, 102 - Sala 1603 - Anhangabaú, Jundiaí - SP, 13208-703, Brasil;Associação, eSports, Artigos Esportivos, Esportes
conatus-software;Conatus Software;Manaus, Amazonas, Brazil;Mobile, Software, Web Development;Conatus SW;-3.107556;-60.007099;Rua Franco de Sá, 270 - 605 - São Francisco, Manaus - AM, 69079-210, Brasil;Móvel, Software, Desenvolvimento Web
conaz;Conaz;Florianópolis, Santa Catarina, Brazil;Information Technology, Real Estate;Ambar Conaz;-27.5963509;-48.5210393;Rua Lauro Linhares, 2010 Edifício São Francisco 6º andar - Sala 603 - Torre B - Trindade, Florianópolis - SC, 88036-002, Brasil;Tecnologia da informação, Imóveis
conceptu-protótipos-e-sistemas;Conceptu Protótipos e Sistemas;São Leopoldo, Rio Grande do Sul, Brazil;Hardware, Information Technology, Software;Conceptu Protótipos & Sistemas;-30.0586387;-51.1733803;Tecnopuc - Raiar - Prédio 96e, Av. Ipiranga, 6681 - sala 126 - Partenon, Porto Alegre - RS, 90619-900, Brasil;Hardware, Tecnologia da informação, Software
concessus;Concessus;São Paulo, Sao Paulo, Brazil;Civil Engineering;Concessus;-23.5536517;-46.6625343;Av. Angélica, 2 - 510 Térreo - Consolação, São Paulo - SP, 01228-200, Brasil;Engenharia Civil
conciliadora;Conciliadora;Belo Horizonte, Minas Gerais, Brazil;Banking, Credit Cards, Debit Cards, Mobile Payments, Payments;Aliança Tecnologia - Conciliadora;-19.9255244;-43.9193715;Av. do Contorno, 3513 - 5º Andar - Santa Efigênia, Belo Horizonte - MG, 30.110, Brasil;Serviços bancários, cartões de crédito, cartões de débito, pagamentos móveis, pagamentos
concore;Concore;São Paulo, Sao Paulo, Brazil;E-Commerce, Electronics, Hardware, Information Technology, Internet;Concorde;-23.5836793;-46.6366612;Rua Vergueiro, 2515 - Vila Mariana, São Paulo - SP, 04101-100, Brasil;Comércio Eletrônico, Eletrônica, Hardware, Tecnologia da Informação, Internet
concretid;ConcretID;Recife, Bahia, Brazil;Information Services, Information Technology, Logistics;;;;;Serviços de informação, Tecnologia da informação, Logística
concursados-desafio-oab;Concursados - Desafio OAB;Salvador, Sao Paulo, Brazil;Education, Gamification, Online Games;R. Passagem Salvador - Jardim Vista Alegre;-23.4581353;-46.6857469;R. Passagem Salvador - Jardim Vista Alegre, São Paulo - SP, 02675-031, Brasil;Educação, Gamificação, Jogos Online
condlink;CondLink;São Carlos, Rondonia, Brazil;Network Security, Real Estate, Software;Condlink;-22.0170793;-47.8990042;Av. Comendador Alfredo Maffei, 1400 - Jardim Sao Carlos, São Carlos - SP, 13561-270, Brasil;Segurança de rede, Imóveis, Software
condoall;CondoAll;Jundiaí, Sao Paulo, Brazil;Information Services, Information Technology, Software;;;;;Serviços de informação, Tecnologia da informação, Software
condoblue;CondoBlue;Ribeirão Prêto, Minas Gerais, Brazil;Banking, Credit, Finance, Financial Services, Property Management;CondoBlue;-21.177074;-47.809538;R. Visc. de Inhaúma, 580 - Conjunto 802 - Centro, Ribeirão Preto - SP, 14010-100, Brasil;Bancário, Crédito, Finanças, Serviços Financeiros, Administradora de Imóveis
condobox;CondoBox;Belo Horizonte, Minas Gerais, Brazil;Property Management, Residential, Software;Condobox Sistemas Ltda.;-19.9286109;-43.9396031;R. Espírito Santo, 1573 - Cj. 901 - Lourdes, Belo Horizonte - MG, 30160-031, Brasil;Administradora de Imóveis, Residencial, Software
condofy-administradora-digital;Condofy Administradora Digital;Rio De Janeiro, Rio de Janeiro, Brazil;B2B, B2C, Consumer, Legal, Real Estate;Condofy Administradora Digital;-22.9114228;-43.1744519;R. México, 31 - sala 703 - Centro, Rio de Janeiro - RJ, 20031-144, Brasil;B2B, B2C, Consumidor, Jurídico, Imóveis
condomínio-simples;Condomínio Simples;Rio De Janeiro, Rio de Janeiro, Brazil;Property Management, Residential, Software;Condomínio Nova Ipanema - Sede;-23.0019202;-43.3603563;R. Alm. Heráclito da Graça Aranha, 279 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-400, Brasil;Administradora de Imóveis, Residencial, Software
condominiweb;CondominiWeb;Vitória, Piaui, Brazil;Information Technology, Internet, Property Management, Web Apps;CondominiWeb;-20.2767311;-40.3001714;Ed. América Centro Empresarial - Av. Fernando Ferrari, 1080 - 503 - Jardim da Penha, Vitória - ES, 29066-380, Brasil;Tecnologia da informação, Internet, Gerenciamento de propriedade, Aplicativos da Web
condovox;Condovox;São Paulo, Sao Paulo, Brazil;Advertising, Communities, Computer, Marketing, Software;CondoVox;-23.5239645;-46.5414424;R. Francisco Coimbra, 128 - Penha de França, São Paulo - SP, 03639-000, Brasil;Publicidade, Comunidades, Informática, Marketing, Software
conduweb;Conduweb;Pôrto Alegre, Mato Grosso, Brazil;Information Technology;Conduweb;-30.06342699999999;-51.151063;Rua Padre Todesco, 927 Unid. 1002 - Partenon, Porto Alegre - RS, 91530-360, Brasil;Tecnologia da informação
conecta-voos;Conecta Voos;Duque De Caxias, Rio de Janeiro, Brazil;Internet, Leisure, Tourism, Travel;Aeroporto Internacional Afonso Pena;-25.5327132;-49.1724811;Av. Rocha Pombo - Águas Belas, São José dos Pinhais - PR, 83010-900, Brasil;Internet, Lazer, Turismo, Viagem
conectcar;ConectCar;São Paulo, Sao Paulo, Brazil;Consumer Electronics, Electronics, Financial Services;Conectcar Soluções De Mobilidade Eletrônica S.a;-23.5906303;-46.68665379999999;Torre III, Av. Pres. Juscelino Kubitschek, 1830 - 6º andar - Vila Nova Conceição, São Paulo - SP, 04543-000, Brasil;Bens de Consumo Eletrônicos, Serviços Financeiros
conex;Conex;Paraná, Espirito Santo, Brazil;Computer, Information Technology, Software;Conex Express;-25.4525928;-49.2670961;Av. Nossa Sra. Aparecida, 988 - Seminário, Curitiba - PR, 80310-100, Brasil;Computador, Tecnologia da informação, Software
confere;Confere;São Paulo, Sao Paulo, Brazil;Banking, Sales, Small and Medium Businesses;Confere Cartões;-23.5688619;-46.6464484;Av. Paulista, 302 - Jardins, São Paulo - SP, 01310-000, Brasil;Bancos, Vendas, Pequenas e Médias Empresas
confianet;ConfiaNet;São Paulo, Sao Paulo, Brazil;Business Development, Insurance, Software;ConfiaNet Certificações S.A.;-23.5768358;-46.6414119;Rua Correia Dias, 184 - 11 andar - Paraíso, São Paulo - SP, 04104-000, Brasil;Desenvolvimento comercial, Seguros, Software
configr;Configr;Brasília, Rio Grande do Norte, Brazil;Cloud Computing, Cloud Infrastructure, Cloud Management, Information Technology, Software;Configr;-15.8357343;-48.016657;R. das Pitangueiras, 2 - Águas Claras, Brasília - DF, 71908-720, Brasil;Computação em nuvem, Infraestrutura em nuvem, Gerenciamento de nuvem, Tecnologia da informação, Software
confilio;Confilio;São Paulo, Sao Paulo, Brazil;Advertising, Affiliate Marketing, Marketing;Confilio Servicos de Informatica EIRELI - ME;-23.5533536;-46.6773422;Rua Oscar Freire, 2239 - Pinheiros, São Paulo - SP, 05409-011, Brasil;Publicidade, Marketing de afiliados, Marketing
confirm8;Confirm8;São Paulo, Sao Paulo, Brazil;Developer Tools, Information Technology, Internet, Mobile Apps, Real Time, Task Management;Confirm8;-23.5739662;-46.6462181;R. Sampaio Viana, 253 - Cj. 16 - Paraíso, São Paulo - SP, 04004-000, Brasil;Ferramentas de desenvolvedor, Tecnologia da informação, Internet, Aplicativos móveis, Tempo real, Gerenciamento de tarefas
congressy;Congressy;Goiânia, Goias, Brazil;Event Management, Events, Ticketing;;;;;Gerenciamento de Eventos, Eventos, Ingressos
connect-parts;Connect Parts;Marília, Sao Paulo, Brazil;E-Commerce, Logistics, Manufacturing, Retail, Transportation;Connect Parts;-22.1573626;-49.95439940000001;Av. Carlos Tosin, 1256 - Distrito Industrial, Marília - SP, 17512-120, Brasil;Comércio Eletrônico, Logística, Manufatura, Varejo, Transporte
connectdata;ConnectData;São Paulo, Sao Paulo, Brazil;Information Services, Information Technology, Predictive Analytics;;;;;Serviços de informação, Tecnologia da informação, Análise preditiva
connection55;Connection55;São Paulo, Sao Paulo, Brazil;Event Management, Event Promotion, Events;Connection 55;-23.561719;-46.6584559;Alameda Santos, 1773 - Jardim Paulista, São Paulo - SP, 01419-002, Brasil;Gerenciamento de Eventos, Promoção de Eventos, Eventos
conpass;Conpass;Florianópolis, Santa Catarina, Brazil;Enterprise Software, Information Technology, SaaS;Conpass;-27.5714533;-48.5089107;Celta Incubadora - Rodovia SC 401, Km 01 - Parque Tecnológico Alfa - Sala 2.19 - João Paulo, Florianópolis - SC, 88030-902, Brasil;Software empresarial, Tecnologia da informação, SaaS
construa-me;Construa.me;João Pessoa, Bahia, Brazil;B2B, B2C, Construction, Consulting, Real Estate;;;;;B2B, B2C, Construção, Consultoria, Imóveis
construcode;ConstruCode;Salvador, Sao Paulo, Brazil;Civil Engineering, Project Management, Software;Construcode;-23.5628179;-46.6546061;Av. Paulista, 1374 WeWork 5º Andar - Sala 109 - Bela Vista, São Paulo - SP, 01310-100, Brasil;Engenharia Civil, Gerenciamento de Projetos, Software
construconnect;ConstruConnect;Ribeirão Prêto, Minas Gerais, Brazil;B2B, Civil Engineering, Construction, SaaS, Small and Medium Businesses;ConstruConnect;-21.1479831;-47.8581904;Supera Parque (USP - Rua Dra, Av. Dra. Nadir Águiar, 1805 - Jardim Dr. Paulo Gomes Romeo, Ribeirão Preto - SP, 14056-680, Brasil;B2B, Engenharia civil, Construção, SaaS, Pequenas e médias empresas
