OrganizationID;"Organization Name";"Headquarters Location";LinkedIn
neoimagine;NeoImagine;"São Paulo, Sao Paulo, Brazil";"Advertising, Graphic Design, Internet, Web Design, Web Development"
neoinfinito;NeoInfinito;"São Carlos, Rondonia, Brazil";"Business Intelligence, Finance, Financial Services, Information Technology"
neomode;Neomode;"Pinheiros, Sao Paulo, Brazil";"Mobile, Retail Technology, SaaS"
neomove;Neomove;"Pinheiros, Sao Paulo, Brazil";"B2B, Communications Infrastructure, Digital Media, E-Commerce, Intelligent Systems"
neopag;Neopag;"São Paulo, Sao Paulo, Brazil";"B2B, Business Development, Credit, Financial Services, Human Resources, Information Technology, Risk Management, Security, Software"
neoprospecta;Neoprospecta;"Florianópolis, Santa Catarina, Brazil";"Analytics, Bioinformatics, Biotechnology, Genetics, Life Science"
neora;Neora;"São Paulo, Sao Paulo, Brazil";"Education, Higher Education, Universities"
nephi;NEPHI;"Pelotas, Rio Grande do Sul, Brazil";"B2C, Corporate Training, Human Resources, Recruiting, Staffing Agency"
netbee;Netbee;"Belo Horizonte, Minas Gerais, Brazil";"Database, Information Technology, Intelligent Systems, Internet of Things"
netcredito;Netcredito;"Sete Lagoas, Minas Gerais, Brazil";"B2B, B2C, Banking, Finance, Lending"
netfoods-tecnologia;NetFoods;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Food and Beverage, Information Technology, Retail, Software"
netshow-me;Netshow.me;"São Paulo, Sao Paulo, Brazil";"Music, Video Streaming"
netsupport-848c;NetSupport;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Information Technology, Security"
networkrbrasil;NetworkrBrasil;"Bauru, Sao Paulo, Brazil";"Events, Information Technology, Internet, Software, Ticketing"
neura-alves-fotografia;"Neura Alves Fotografia";"Curitiba, Parana, Brazil";"Content Creators, Photo Editing, Photography"
neuralmed;NeuralMed;"São Paulo, Sao Paulo, Brazil";"Health Care"
neuralmind;NeuralMind;"Campina, Sao Paulo, Brazil";"Artificial Intelligence, Information Technology, Machine Learning"
neurologic-2;"Neurologic AI";"Curitiba, Parana, Brazil";"Ad Retargeting, Advertising, Artificial Intelligence, E-Commerce, Machine Learning, Predictive Analytics"
nevoa-networks;"Nevoa Networks";"Campinas, Goias, Brazil";"Cloud Computing, Information Technology, Security"
new-content;"New Content";"Vila Olímpia, Sao Paulo, Brazil";"Advertising, Marketing"
new-hope-ecotech;"New Hope Ecotech";"São Paulo, Sao Paulo, Brazil";"Information Technology, Manufacturing, Recycling, Software"
newcash;NewCash;"Jundiaí, Sao Paulo, Brazil";"Cryptocurrency, E-Commerce, Finance, FinTech, Trading Platform"
newiscool-tecnologia-educacional;"NewisCool Tecnologia Educacional";"Ribeirão, Sao Paulo, Brazil";"Education, Information Technology"
newsmonitor;NewsMonitor;"São Paulo, Sao Paulo, Brazil";"News, Search Engine"
newtouch;Newtouch;"Joinville, Santa Catarina, Brazil";"Information Technology, Mobile, Mobile Apps"
nexer;Nexer;"Belo Horizonte, Minas Gerais, Brazil";"Apps, Automotive, Hardware, Information Technology, Mobile"
nexfar;Nexfar;"Florianópolis, Santa Catarina, Brazil";B2B
nexlike;NexLike;"João Pessoa, Bahia, Brazil";"Apps, Enterprise Software, Internet"
nexoos;Nexoos;"São Paulo, Sao Paulo, Brazil";"Financial Services, FinTech, Lending, Marketplace"
next-academy-3f01;"Next Academy";"Rio De Janeiro, Rio de Janeiro, Brazil";"Education, Franchise, SaaS, Sports"
next-biz;Next.Biz;"São José do Rio Prêto, Sao Paulo, Brazil";Advertising
nextcad-soluções-inteligentes;"NextCAD Soluções Inteligentes";"Chapecó, Sao Paulo, Brazil";"Construction, Information Technology, Software"
nexti-soluções-inteligentes;"Nexti Soluções Inteligentes";"Nova Lima, Minas Gerais, Brazil";"Information Services, Information Technology, Software"
nexus-edge;"Nexus Edge";"São Paulo, Sao Paulo, Brazil";"Advertising, Predictive Analytics, Social Media Management"
nexx-inn;"Nexx inn";"Rio De Janeiro, Rio de Janeiro, Brazil";"E-Commerce, Tourism, Travel"
nexxto;NEXXTO;"São Paulo, Sao Paulo, Brazil";"Information Technology, Internet of Things, Risk Management"
nfc-smart-book;"NFC Smart Book";"Manaus, Amazonas, Brazil";"EBooks, Mobile Devices"
nfemail-tecnologia;"NFeMail Tecnologia";"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Services, Information Technology, SaaS"
ni-digital-studio;"Ni Digital Studio";"Paraíba, Paraiba, Brazil";"Apps, Video Games, Web Development"
nibo;Nibo;"Rio De Janeiro, Rio de Janeiro, Brazil";"Accounting, Finance, Financial Services, Information Technology, Internet, Network Security, SaaS, Software"
niduu;Niduu;"São Luís, Sao Paulo, Brazil";"E-Learning, EdTech, Education"
nielo-it;"Nielo IT";"São Paulo, Sao Paulo, Brazil";"Enterprise, Enterprise Software, Information Technology, IT Infrastructure, Outsourcing"
nift-recrutamento-inteligente;"Nift - Recrutamento inteligente";"Florianópolis, Santa Catarina, Brazil";"B2B, Human Resources, Recruiting, SaaS, Software"
nine-feet;"Nine Feet";"Porto Alegre, Rio Grande do Sul, Brazil";"Drone Management, Drones, Photography"
ningo;Ningo;"São Paulo, Sao Paulo, Brazil";"E-Commerce, E-Commerce Platforms, Product Search"
ninho-projetos-para-desenvo;"Ninho Projetos Para Desenvo";"Goiânia, Goias, Brazil";"Consulting, Information Technology, Service Industry"
ninsade;"Ninsaúde Apolo";"Porto Alegre, Rio Grande do Sul, Brazil";"Cloud Computing, Health Care, Information Technology, Medical, Software"
nio-rooms;"NIO Rooms";"Uberlândia, Minas Gerais, Brazil";"B2B, B2C, Consumer Goods, E-Commerce, Hotel"
niponcred-empréstimo;"Niponcred Empréstimo";"Curitiba, Parana, Brazil";"Banking, Debt Collections, Finance, FinTech, Lending"
niqq;Niqq;"São Paulo, Sao Paulo, Brazil";"CRM, Digital Signage, Identity Management"
nmind;NMIND;"São Paulo, Sao Paulo, Brazil";"Analytics, Big Data, Data Mining, Market Research"
no-clima;"No Clima";"Belo Horizonte, Minas Gerais, Brazil";"Advertising, Brand Marketing, Digital Marketing, Marketing"
noalvo;NOALVO;"São Paulo, Sao Paulo, Brazil";"Advertising, Marketing"
nobre-commerce;"Nobre Commerce";"Belo Horizonte, Minas Gerais, Brazil";"E-Commerce, Information Technology, Internet, Web Design"
noc;NOC;"Porto Alegre, Rio Grande do Sul, Brazil";"Content, Marketing, Social Media, Social Media Marketing"
nokitua;Nokitua;"São Paulo, Sao Paulo, Brazil";"Apps, Information Technology, Mobile, Software, Web Development"
noknox;Noknox;"Brasil, Sao Paulo, Brazil";"Apps, Facility Management, Office Administration, SaaS, Security, Smart Building, Smart Home"
nomus-erp-industrial;"Nomus ERP Industrial";"Rio De Janeiro, Rio de Janeiro, Brazil";"Industrial Engineering, Information Technology, Internet, SaaS, Software"
nong;NONG;"Brasília, Rio Grande do Norte, Brazil";"Agriculture, AgTech, Drones, Farming, Mapping Services"
noobsys;NoobSyS;"Paranaguá, Parana, Brazil";"Data Mining, Information Technology"
nossos-doutores;"Nossos Doutores";"São Paulo, Sao Paulo, Brazil";"B2B, B2C, Personal Health, SaaS, Wellness"
notabank;Notabank;"Rio De Janeiro, Rio de Janeiro, Brazil";"Banking, Finance, Software"
notifica-educacional;"Notifica Educacional";"Sorocaba, Sao Paulo, Brazil";"EdTech, Education"
novaclass;Novaclass;"Belo Horizonte, Minas Gerais, Brazil";"Big Data, Content, Education, Information Technology, Mobile"
novatics;Novatics;"Brasília, Rio Grande do Norte, Brazil";"Information Technology, Mobile Apps, Software Engineering"
novelty-4660;Novelty;"Juiz De Fora, Minas Gerais, Brazil";"Consulting, Information Technology, Internet of Things, Mobile Apps"
noverde;Noverde;"São Paulo, Sao Paulo, Brazil";"Financial Services, Internet, Lending, Mobile, Software"
noviga-partner;"Noviga Partner";"Campinas, Goias, Brazil";"Food and Beverage, Food Processing, Management Consulting"
nowigo;Nowigo;"Santa Rita Do Sapucaí, Minas Gerais, Brazil";"Mobile Payments, Payments, Wearables"
nowme;Nowme;"São Paulo, Sao Paulo, Brazil";"Apps, Messaging"
nscreen;nScreen;"Belo Horizonte, Minas Gerais, Brazil";"B2B, Information Technology, Mobile, Software"
ntw-contabilidade-e-gestão-empresarial;"NTW Contabilidade e Gestão Empresarial";"Fortaleza, Mato Grosso do Sul, Brazil";"Accounting, Consulting, Management Information Systems, Outsourcing, Professional Services"
nubank;Nubank;"São Paulo, Sao Paulo, Brazil";"Credit Cards, Finance, Financial Exchanges, Financial Services, FinTech"
nubbi;Nubbi;"Poços de Caldas, Sao Paulo, Brazil";"E-Learning, Education"
nubeliu;NubeliU;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Cloud Management, Enterprise Software, Management Information Systems, Private Cloud, Virtualization"
nucont;Nucont;"Belo Horizonte, Minas Gerais, Brazil";"Accounting, Finance, Information Technology, SaaS, Software"
numenu;Numenu;"Guarulhos, Sao Paulo, Brazil";"Apps, Car Sharing, Mobile"
nutrisérie;Nutrisérie;"Salvador, Sao Paulo, Brazil";"Mobile Apps, Personal Health"
nuuvem;Nuuvem;"Rio De Janeiro, Rio de Janeiro, Brazil";"Gaming, PC Games, Video Games"
nuvem-lab;"Nuvem Lab";"Recife, Bahia, Brazil";"Content, SaaS, Web Design, Web Development"
nuvem-shop;"Nuvem Shop";"São Paulo, Sao Paulo, Brazil";"E-Commerce, Marketing, Retail, SaaS, Sales"
nuvemjur;Nuvemjur;"Goiânia, Goias, Brazil";"Internet, SaaS"
nuveo-technologies-ltda;"Nuveo Technologies Ltda";"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Computer, Electronics, Information Technology, Software"
nuvic-cloud-solutions;"Nuvic Cloud Solutions";"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Information Technology, Software"
nvoip-3a55;Nvoip;"Juiz De Fora, Minas Gerais, Brazil";"Information and Communications Technology (ICT), Information Technology, Meeting Software, Software, Telecommunications, VoIP"
nyvra-software;"Nyvra Software";"Porto Alegre, Rio Grande do Sul, Brazil";Software
o-amor-é-simples;"O Amor é Simples";"Porto Alegre, Rio Grande do Sul, Brazil";"B2C, Beauty, E-Commerce, Fashion, Internet"
o-blue;O-Blue;"São Paulo, Sao Paulo, Brazil";"Blockchain, Business Development, Software"
ó-dois-go;"Ó Dois GO";"Concórdia, Santa Catarina, Brazil";"B2B, Digital Marketing, Marketing, Sales, SEO"
o-melhor-fornecedor;"O Melhor Fornecedor";"São Paulo, Sao Paulo, Brazil";"B2B, Internet"
o2-games;"O2 Games";"Belo Horizonte, Minas Gerais, Brazil";"Gaming, Information Technology, Internet, Social, Web Development"
o2c-hipermdia;"O2C Hipermídia";"Rio De Janeiro, Rio de Janeiro, Brazil";"Consulting, Software, Telecommunications"
o2obots;O2Obots;"Florianópolis, Santa Catarina, Brazil";"Artificial Intelligence, Information Technology, Insurance"
o2ti-soluções-web;"O2ti Soluções Web";"Piracicaba, Sao Paulo, Brazil";"E-Commerce, Internet, Web Development"
o360;o360;"Taubaté, Sao Paulo, Brazil";"Information Technology, Internet, Photography, Software, Web Apps"
oaloo-impressão-3d;"OALOO IMPRESSÃO 3D";"São Paulo, Sao Paulo, Brazil";"3D Printing, Manufacturing, Marketing"
objetosantigos;ObjetosAntigos;"Goiânia, Goias, Brazil";"Advertising, Classifieds, E-Commerce, Internet, Wholesale"
obrafit;Obrafit;"São Paulo, Sao Paulo, Brazil";"Productivity Tools, Project Management, Software"
obrazul;Obrazul;"Belo Horizonte, Minas Gerais, Brazil";"Information Services, Information Technology"
oca-animation;"OCA Animation";"São Paulo, Sao Paulo, Brazil";"Advertising, Digital Entertainment, Digital Media, Internet, Media and Entertainment, Performing Arts, Video"
ocalev;Ocalev;"Belém, Para, Brazil";"Electronics, Industrial Engineering, Innovation Management"
ocapi;Ocapi;"São Paulo, Sao Paulo, Brazil";"Ad Network, Advertising, E-Commerce, Internet, Software"
ocatec;Ocatec;"São Paulo, Sao Paulo, Brazil";"Consulting, Information Technology, Outsourcing, Software"
oceandrop;OceanDrop;"Balneário De Camboriú, Santa Catarina, Brazil";"Fitness, Health Care, Manufacturing, Nutrition"
octadesk;Octadesk;"São Paulo, Sao Paulo, Brazil";"Information Services, Information Technology, SaaS, Software"
octahedron;Octahedron;"Campina Grande, Paraiba, Brazil";"Cloud Computing, Information Services, Information Technology"
octavarium;"Agência Linka";"São Paulo, Sao Paulo, Brazil";"Advertising, Analytics, Search Engine, SEO"
odebrecht-ambiental;"Odebrecht Ambiental";"Salvador, Sao Paulo, Brazil";"Environmental Engineering, Health Care, Waste Management"
odig;ODIG;"Porto Alegre, Rio Grande do Sul, Brazil";"Advertising, Consulting, Content, Digital Marketing, Lead Generation, Marketing, SEO"
odm;ODM;"São Carlos, Rondonia, Brazil";"Artificial Intelligence, Business Development, Business Intelligence, Consulting, Management Consulting"
oferecer-com-br;oferecer.com.br;"Paraíba, Paraiba, Brazil";"Building Material, Business Development, Construction, Payments"
off;OFF!;"São Paulo, Sao Paulo, Brazil";"Apps, Mobile, Mobile Apps, Shopping, Software"
officee2;OfficeE2;"Sorocaba, Sao Paulo, Brazil";"B2B, Finance, Information Technology, Outsourcing, Professional Services"
offsite-brasil;"Offsite Brasil";"Curitiba, Parana, Brazil";Construction
oficialize;Oficialize;"Rio De Janeiro, Rio de Janeiro, Brazil";Legal
ohne-empréstimo-pessoal-online;"Ohne Empréstimo Pessoal Online";"Curitiba, Parana, Brazil";"Financial Services, FinTech"
ohub;OHub;"São Paulo, Sao Paulo, Brazil";"B2B, Marketing, Marketplace"
oiana;OIANA;"Curitiba, Parana, Brazil";"Apps, CRM, Mobile, Software"
oimaggie;OiMaggie;"Florianópolis, Santa Catarina, Brazil";"Education, Secondary Education, Universities"
oinc-filmes;"Oinc Filmes";"Belo Horizonte, Minas Gerais, Brazil";"B2C, Content, Media and Entertainment, Music, Video"
oithcau;Oitchau;"São Paulo, Sao Paulo, Brazil";"Human Resources, SaaS, Software"
ok-chefe;"Ok Chefe";"Cuiabá, Mato Grosso, Brazil";"Construction, Professional Services, Real Estate"
oktagon-games;"Oktagon Games";"Rio De Janeiro, Rio de Janeiro, Brazil";"Apps, iOS, Social Media"
oktoplus;Oktoplus;"Florianópolis, Santa Catarina, Brazil";"Computer, Loyalty Programs, Search Engine, Software"
olá-pais;"Olá Pais";"São José Dos Campos, Sao Paulo, Brazil";"EdTech, Education"
olé-productions;"Olé Productions";"São Paulo, Sao Paulo, Brazil";"Digital Media, Film, Film Production"
olho-do-dono;"Olho do Dono";"Victoria, Espirito Santo, Brazil";"3D Technology, Agriculture, AgTech, Analytics, Livestock"
olist;Olist;"Curitiba, Parana, Brazil";"E-Commerce Platforms, Retail, SaaS, Small and Medium Businesses, Software"
oliverio-advogados;"Oliverio Advogados";"São Paulo, Sao Paulo, Brazil";"Consulting, Emerging Markets, Legal, Real Estate, Software, Venture Capital, Wealth Management"
omiexperience;Omiexperience;"São Paulo, Sao Paulo, Brazil";"Accounting, Cloud Computing, Cloud Data Services, CRM, Enterprise Resource Planning (ERP), Management Consulting, SaaS"
omine;Omine;"Gravataí, Rio Grande do Sul, Brazil";"Apps, Information Technology, Intelligent Systems, Productivity Tools, Software"
omni-eletrônica;Omni-Eletrônica;"São Paulo, Sao Paulo, Brazil";"Artificial Intelligence, Sensor, Wireless"
omnicloud;Omnicloud;"Florianópolis, Santa Catarina, Brazil";"Advertising, Information Technology, Marketing"
omnihunter;OmniHunter;"Florianópolis, Santa Catarina, Brazil";"Analytics, Automotive, Information Services"
omnize;Omnize;"São Paulo, Sao Paulo, Brazil";"Messaging, SaaS, Software, Video Chat"
omrá-tecnologia;"OmRá Tecnologia";"São Paulo, Sao Paulo, Brazil";"Consulting, Internet"
onbits;Onbits;"Rio De Janeiro, Rio de Janeiro, Brazil";"Information Technology, Internet, Software, Telecommunications, Video"
onboard-mobility;"OnBoard Mobility";"São Paulo, Sao Paulo, Brazil";"Finance, Financial Services, Information Services, Information Technology"
oncase;OnCase;"Recife, Bahia, Brazil";"Analytics, Big Data, Information Technology, Marketing, Software"
ondalocal;OndaLocal;"São Paulo, Sao Paulo, Brazil";"Advertising, Automotive, Internet, Local, Small and Medium Businesses"
onde-fui-roubado;"Onde Fui Roubado";"Salvador, Sao Paulo, Brazil";"Social Media Management"
one-cloud;"One Cloud";"Belo Horizonte, Minas Gerais, Brazil";"Cloud Computing, Cloud Infrastructure, Software"
one-day-testing;"One Day Testing";"Taquaral, Sao Paulo, Brazil";"Information Technology, Software, Test and Measurement"
onefun;OneFun;"São Paulo, Sao Paulo, Brazil";"Digital Entertainment, Mobile, Online Portals, Personalization, Software"
onesight;Onesight;"São Paulo, Sao Paulo, Brazil";"Android, B2B, Digital Marketing, Internet of Things, iOS, Mobile, Mobile Apps, Web Development"
onetwo;OneTwo;"São Paulo, Sao Paulo, Brazil";"Apps, Direct Marketing, Fashion, Marketing, Retail"
onhands;OnHands!;"Belém, Para, Brazil";"Computer, Information Technology, Internet, Mobile, Software"
onhere-tecnologia;"OnHere Tecnologia";"Rio Grande Do Sul, Rio Grande do Sul, Brazil";"Delivery Service, Developer Platform, Information Services, Logistics, Software"
onion-tecnologia;"Onion Tecnologia";"São Carlos, Rondonia, Brazil";"Apps, E-Commerce, Food Delivery"
onisafra;Onisafra;"Manaus, Amazonas, Brazil";"Agriculture, AgTech, Trading Platform"
onli-life-insurance;"ONLi Seguros";"Curitiba, Parana, Brazil";"Insurance, InsurTech, Life Insurance"
onlife;Onlife;"Salvador, Sao Paulo, Brazil";"Advertising, Consulting, Content"
onlinevida;Onlinevida;"Jaboatão, Sao Paulo, Brazil";"Cloud Computing, Information Technology, Internet, Medical, Mobile"
onmed-sistemas-médicos;"Onmed Sistemas Médicos";"Pato Branco, Parana, Brazil";"Health Care, Medical, Scheduling, Software"
onni;ONNi;"Porto Alegre, Rio Grande do Sul, Brazil";"Apps, B2B, Events, Marketing, Music, Ticketing"
onovolab;ONOVOLAB;"São Carlos Do Pinhal, Sao Paulo, Brazil";"Facilities Support Services, Innovation Management, Personal Development, Professional Services"
onpiggy;Onpiggy;"Salvador, Sao Paulo, Brazil";"Group Buying, Internet, Social, Social Entrepreneurship"
onsafety;OnSafety;"Maringá, Parana, Brazil";"Employee Benefits, Information Technology, Public Safety, SaaS"
onsee-digital-signage;"Onsee Digital Signage";"Belém Do São Francisco, Pernambuco, Brazil";"Digital Signage, Information Services, Information Technology, Software"
onsyx;Onsyx;"Praia Grande, Amazonas, Brazil";"Business Information Systems, Enterprise Software, Information Technology, Internet, Online Portals"
ontrack-software;"Ontrack Software";"Palhoça, Santa Catarina, Brazil";"B2B, Big Data, SaaS, Sales, Software"
oozo-tv;OOZO.tv;"São Paulo, Sao Paulo, Brazil";"Advertising Platforms, Digital Media, Digital Signage, Internet of Things, Outdoor Advertising, SaaS, Social Media Marketing"
opa-f98b;Opa;"Rio De Janeiro, Rio de Janeiro, Brazil";"Blockchain, EdTech, Social Network"
opara;Opara;"Recife, Bahia, Brazil";"Analytics, Big Data, Business Intelligence, Mobile, SaaS"
openimob;Openimob;"Florianópolis, Santa Catarina, Brazil";"Information Technology, Machine Learning, Real Estate"
openux;OpenUX;"Blumenau, Santa Catarina, Brazil";"Information Technology"
operand-brazil;"Operand Brazil";"Joinville, Santa Catarina, Brazil";"B2B, Information and Communications Technology (ICT), SaaS, Software, Telecommunications"
opinilhes;Opinilhões;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Lifestyle, Shopping"
opinion-box;"Opinion Box";"Belo Horizonte, Minas Gerais, Brazil";"Consumer Research, Market Research, Marketing"
oppa;Oppa;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Furniture, Shopping"
"OppaCart | Schioppa";"OppaCart | Schioppa";"Barra Do Piraí, Rio de Janeiro, Brazil";"Manufacturing, Product Design, Retail"
opportunity-maker;"Opportunity Maker";"São Paulo, Sao Paulo, Brazil";"Consulting, Lead Generation, Management Consulting, Project Management"
oprestador;OPrestador;"Ribeirão Prêto, Minas Gerais, Brazil";"Information Services, Information Technology"
opsocial;Opsocial;"Pato Branco, Parana, Brazil";"Business Intelligence, Data Visualization, Information Services, Internet"
optidados-soluções-óticas;"Optidados Soluções Óticas";"Pedreira, Sao Paulo, Brazil";"E-Commerce, Health Care, Medical, SaaS, Software"
optimale;Optimale;"Campo Grande, Sao Paulo, Brazil";"Information Technology, Water, Water Transportation"
optimize-4b20;Optimize;"Ijuí, Rio Grande do Sul, Brazil";"Information Technology, Software"
optimus-brand-consulting;"Optimus Brand Consulting";"Belo Horizonte, Minas Gerais, Brazil";"Consulting, Marketing"
optionmaker;OptionMaker;"Brasil, Sao Paulo, Brazil";"Public Relations"
opusphere;Opusphere;"Campinas, Goias, Brazil";"Business Information Systems, Consulting, Gamification, Information Technology, Software"
oqvestir;OQVestir;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Fashion, Lifestyle"
oráculo-meteorologia;"Oráculo Meteorologia";"São Paulo, Sao Paulo, Brazil";"Agriculture, AgTech"
orama;ORAMA;"Rio De Janeiro, Rio de Janeiro, Brazil";"Finance, Financial Services, Funding Platform, Security, Training"
orange-founders;"Orange Founders";"São Paulo, Sao Paulo, Brazil";"Application Performance Management, Digital Marketing, Digital Media, Information Technology, SaaS"
orangefox;Orangefox;"São Paulo, Sao Paulo, Brazil";"Information Technology"
orbital-sistemas;"Orbital Sistemas";"Uberlândia, Minas Gerais, Brazil";"Advertising, Consulting, E-Commerce, Information Technology, Internet, Marketing"
orcafascio;OrcaFascio;"Macapá, Sao Paulo, Brazil";"Construction, Database, Email, FinTech, Internet, SMS, Software"
orcecerto;ORCECERTO;"São Paulo, Sao Paulo, Brazil";"Civil Engineering, Construction"
orgânicos-in-box;"Orgânicos in Box";"Rio De Janeiro, Rio de Janeiro, Brazil";"Food Delivery, Organic Food"
organiza-es-globo;Globo.com;"Rio De Janeiro, Rio de Janeiro, Brazil";"Internet, News"
organizaí;Organizaí;"São Paulo, Sao Paulo, Brazil";"Coupons, E-Commerce, Information Technology, Internet, Software"
organize-meu-condomínio;"Organize meu Condomínio";"São Paulo, Sao Paulo, Brazil";"Information Services, Project Management, Real Estate"
organizecrm;OrganizeCRM;"São Paulo, Sao Paulo, Brazil";"Accounting, Apps, B2B, Information Technology, Small and Medium Businesses"
organizze;Organizze;"Criciúma, Parana, Brazil";"Financial Services, Internet, Personal Finance"
orientamed;OrientaMed;"Rio De Janeiro, Rio de Janeiro, Brazil";"Biotechnology, Health Care, Medical Device"
originalmy-blockchain;"OriginalMy Blockchain";"São Paulo, Sao Paulo, Brazil";"Blockchain, EdTech, Information Services, Information Technology, Local, Professional Services"
orkeo;Orkeo;"São Paulo, Sao Paulo, Brazil";"Cloud Computing, Computer, Enterprise Software, Information Technology, SaaS"
orolab;Orolab;"São Paulo, Sao Paulo, Brazil";"Beauty, Business Development, Consulting, Product Design, Wellness"
orulo;Órulo;"Porto Alegre, Rio Grande do Sul, Brazil";"Information Technology, Internet, Real Estate, Search Engine, Software"
osalim-agribusiness;"Osalim Agribusiness";"Pinhais, Minas Gerais, Brazil";"Agriculture, AgTech, B2B, SaaS, Software"
osayk-contabilidade-online-2;"Osayk Contabilidade Online";"Rio De Janeiro, Rio de Janeiro, Brazil";"Accounting, Financial Services, SaaS"
ostera-tecnologia;"Ostera Tecnologia";"Uberlândia, Minas Gerais, Brazil";"Agriculture, Information Technology"
osucateiro-com;Osucateiro.com;"Caxias Do Sul, Rio Grande do Sul, Brazil";"Auctions, Marketplace, Online Auctions"
otimicar;Otimicar;"Brasília, Rio Grande do Norte, Brazil";"Automotive, Communities, Information Technology, Internet of Things"
otimiza-sustentável;"Otimiza Sustentável";"Rio De Janeiro, Rio de Janeiro, Brazil";"Energy, Oil and Gas"
otimizare-soluções-em-engenharia;"Otimizare Soluções em Engenharia";"São Leopoldo, Rio Grande do Sul, Brazil";"3D Technology, B2B, Big Data, SaaS, Software"
otimizy-sistemas-inteligentes;"Otimizy Sistemas Inteligentes";"São José Dos Campos, Sao Paulo, Brazil";"Information Services, Information Technology, SaaS, Software"
otto-tech;"Otto Tech";"Feira De Santana, Bahia, Brazil";"Finance, FinTech, Information Technology, Payments, Software"
ottoni-s-consultoria;"Ottoni´s Consultoria";"Juiz De Fora, Minas Gerais, Brazil";"Accounting, Advice, Consulting, Legal, Legal Tech"
ouppis;Ouppis;"Porto Alegre, Rio Grande do Sul, Brazil";"Communications Infrastructure, Information Technology, Professional Networking, Professional Services, Social Network"
ousia;OUSIA;"Florianópolis, Santa Catarina, Brazil";"Business Development, Information Services, Internet"
out-red-soluções-financeiras;"Out Red Soluções Financeiras";"Brasília, Rio Grande do Norte, Brazil";"B2B, B2C, Business Information Systems, Finance, Marketplace"
outbox-tecnologia;"Outbox Tecnologia";"Petrópolis, Rio de Janeiro, Brazil";"Consulting, Health Care, Security"
outclass;OutClass;"Florianópolis, Santa Catarina, Brazil";"Apps, EdTech, Education, Mobile Apps, Training"
outgo-00e1;OutGo;"Natal, Rio Grande do Sul, Brazil";"Event Management, Event Promotion, Events, Internet, Ticketing"
outoo;Outoo;"São Paulo, Sao Paulo, Brazil";"Coworking, Internet, Real Estate"
outra-coisa;"Outra Coisa";"Rio De Janeiro, Rio de Janeiro, Brazil";"Advertising, Education, Mobile, Social Media, Software"
outros-relatos;"Outros Relatos";"Mariana, Minas Gerais, Brazil";"Journalism, News, Publishing, Tourism"
overificador;oVerificador;"Mogi Das Cruzes, Sao Paulo, Brazil";
overmediacast;OvermediaCast;"São Paulo, Sao Paulo, Brazil";"Analytics, Mobile, Video, Video Streaming"
owl-docs;"Owl Docs";"Brasília, Rio Grande do Norte, Brazil";"Blockchain, Cloud Computing, Network Security"
ownee;Ownee;"Brasília, Rio Grande do Norte, Brazil";"Civil Engineering, Construction"
oxenti;OxenTI;"Bahia, Bahia, Brazil";"Analytics, Business Intelligence, Information Technology"
oxi-ambiental;"Oxi Ambiental";"São Paulo, Sao Paulo, Brazil";"Chemical, Environmental Consulting"
oxibiz;OXIBIZ;"São Paulo, Sao Paulo, Brazil";"B2B, E-Commerce, Internet"
oxidigital;OxiDigital;"Porto Alegre, Rio Grande do Sul, Brazil";"E-Commerce, Email Marketing, SEO, Social Network, Web Design"
oxy-aceleradora;"Oxy Aceleradora";"Salvador, Sao Paulo, Brazil";"Consulting, Professional Services, Small and Medium Businesses"
oxyon-b2b-crm;"Oxyon B2B CRM";"São Paulo, Sao Paulo, Brazil";"B2B, CRM, Customer Service, Software"
oztra;Oztra;"Porto Alegre, Rio Grande do Sul, Brazil";"Consulting, Information Services, Real Estate"
p3dmed;P3Dmed;"Porto Alegre, Rio Grande do Sul, Brazil";"Computer, Information Technology, Software"
pack4pet;"Geração Pet";"Sorocaba, Sao Paulo, Brazil";"Consumer, E-Commerce, Pet, Retail, Sales"
packdocs;Packdocs;"Belo Horizonte, Minas Gerais, Brazil";"Collaboration, Content, Internet, Software"
packid;PackID;"Chapecó, Sao Paulo, Brazil";"Apps, Energy Efficiency"
pagamento-me;Pagamento.me;"São Paulo, Sao Paulo, Brazil";"Content, FinTech, Payments"
pagar-me;Pagar.me;"São Paulo, Sao Paulo, Brazil";"E-Commerce, Internet, SaaS"
pagbrasil;PagBrasil;"Porto Alegre, Rio Grande do Sul, Brazil";"FinTech, Fraud Detection, Payments, Transaction Processing"
pagcom;PagCom;"São Paulo, Sao Paulo, Brazil";"Banking, Information Technology, Mobile Apps, Mobile Payments"
paggcerto;PaggCerto;"Aracaju, Sergipe, Brazil";"Finance, Financial Exchanges, Financial Services"
paggi;Paggi;"São Paulo, Sao Paulo, Brazil";"Bitcoin, E-Commerce, Financial Services, Mobile Payments, Payments"
